cod_icao;nombre_aerolinea;identificacion;pais_aerolinea;cod_pais
GES;Gestair                                                                                             ;GESTAIR                                           ;Spain                                             ;ESP       
GJT;Gestion Aerea Ajecutiva                                                                             ;BANJET                                            ;Spain                                             ;ESP       
GAV;Granada Aviacion                                                                                    ;GRANAVI                                           ;Spain                                             ;ESP       
GPM;Grup Air-Med                                                                                        ;GRUPOMED                                          ;Spain                                             ;ESP       
VMM;Grupo Vuelos Mediterraneo                                                                           ;VUELOS MED                                        ;Spain                                             ;ESP       
HDC;Helcopteros De Cataluna                                                                             ;HELICATALUNA                                      ;Spain                                             ;ESP       
HRA;Heli-Iberica                                                                                        ;ERICA                                             ;Spain                                             ;ESP       
HIF;Heli-Iberica Fotogrametria                                                                          ;HIFSA                                             ;Spain                                             ;ESP       
HHH;Helicsa                                                                                             ;HELICSA                                           ;Spain                                             ;ESP       
HLP;Helipistas                                                                                          ;HELIPISTAS                                        ;Spain                                             ;ESP       
